ID,Cycliste,Nationality,Points,Racedays,Km,Wins,Top_10,Weight,Height,Age,UCI_rank,All_time_rank,Team,TDF_starts,Giro_starts,Vuelta_starts,Roubaix_starts,MSR_starts,LBL_starts,Ronde_starts,Lombardia_starts,GC_wins,Oneday_Race_wins,ITT_wins,Gt_Participation,Classic_Participation,GT_Classic_Participation,Carreer_Major_Wins,Points_per_Km,Points_per_days,days_between_wins,top10_percent
918,Grega Bole,slovenia,15,30,4248,0,4,69.0,1.77,35,1374,653,bahrain-mclaren,4,4,3,0,5,2,2,2,1,5,0,11,11,22,6,0.0035310734463276845,0.5,inf,0.13333333333333333
919,Dylan Teuns,belgium,396,41,6791,1,11,64.0,1.81,28,88,779,bahrain-mclaren,1,1,3,0,2,6,1,3,3,0,1,5,12,17,3,0.05831247238992784,9.658536585365852,41.0,0.2682926829268293
920,Matej Mohorič,slovenia,241,44,7355,0,4,72.0,1.85,26,86,1054,bahrain-mclaren,2,3,3,1,4,5,1,1,2,3,0,8,12,20,5,0.0327668252889191,5.477272727272728,inf,0.09090909090909093
921,Pello Bilbao,spain,646,72,11376,1,15,60.0,1.74,30,56,1292,bahrain-mclaren,2,4,5,1,0,1,2,2,0,1,1,11,6,17,1,0.05678621659634318,8.972222222222221,72.0,0.20833333333333331
922,Eros Capecchi,italy,27,42,6518,0,1,65.0,1.83,34,1410,1734,bahrain-mclaren,1,12,6,0,3,2,0,8,1,1,0,19,13,32,2,0.004142374961644676,0.6428571428571429,inf,0.023809523809523808
923,Yukiya Arashiro,japan,46,51,8352,0,1,64.0,1.7,36,577,1553,bahrain-mclaren,7,3,3,0,2,5,0,2,2,3,0,13,9,22,5,0.005507662835249042,0.9019607843137256,inf,0.0196078431372549
924,Marcel Sieberg,germany,5,28,4115,0,0,80.0,1.98,38,NC,NC,bahrain-mclaren,9,1,1,13,9,0,12,0,0,2,0,11,34,45,2,0.001215066828675577,0.17857142857142858,inf,0.0
925,Enrico Battaglin,italy,149,41,6990,0,6,64.0,1.75,31,268,1996,bahrain-mclaren,0,9,2,0,8,3,0,6,0,1,0,11,17,28,1,0.021316165951359083,3.634146341463415,inf,0.14634146341463414
926,Jan Tratnik,slovenia,151,50,7408,1,8,67.0,1.73,30,254,1724,bahrain-mclaren,1,2,0,1,0,0,1,0,1,2,5,3,2,5,3,0.02038336933045356,3.02,50.0,0.16
927,Rafael Valls,spain,24,19,3125,0,3,64.0,1.79,33,847,NC,bahrain-mclaren,5,3,2,0,0,3,0,2,1,1,0,10,5,15,2,0.007679999999999999,1.263157894736842,inf,0.15789473684210525
928,Phil Bauhaus,germany,170,22,3681,3,9,71.0,1.84,26,234,1801,bahrain-mclaren,0,1,1,2,0,0,1,0,1,1,0,2,3,5,2,0.04618310241782125,7.727272727272727,7.333333333333332,0.4090909090909091
929,Marco Haller,austria,126,49,7992,0,2,72.0,1.78,29,404,NC,bahrain-mclaren,5,1,1,7,5,0,7,0,1,1,0,7,19,26,2,0.01576576576576576,2.571428571428572,inf,0.040816326530612235
930,Iván García Cortina,spain,202,34,5524,1,11,77.0,1.83,25,136,NC,bahrain-mclaren,1,0,2,3,1,0,3,0,0,0,0,3,7,10,0,0.036567704561911656,5.941176470588236,34.0,0.3235294117647059
931,Hermann Pernsteiner,austria,347,49,7934,0,4,55.0,1.68,30,122,NC,bahrain-mclaren,0,1,2,0,0,0,0,2,1,1,0,3,2,5,2,0.043735820519284097,7.081632653061225,inf,0.08163265306122447
932,Luka Pibernik,slovenia,13,32,4357,0,1,60.0,1.77,27,1224,NC,bahrain-mclaren,1,1,2,4,1,2,5,1,0,2,0,4,13,17,2,0.002983704383750287,0.40625,inf,0.03125
933,Mark Padun,ukraine,75,35,5497,0,1,64.0,1.82,24,788,NC,bahrain-mclaren,0,1,2,0,0,0,0,1,1,0,1,3,1,4,1,0.013643805712206658,2.142857142857143,inf,0.028571428571428567
934,Scott Davies,great-britain,20,35,5564,0,1,66.0,1.84,25,NC,NC,bahrain-mclaren,0,1,1,0,0,1,0,1,0,0,0,2,2,4,0,0.003594536304816678,0.5714285714285714,inf,0.028571428571428567
935,Chun Kai Feng,taiwan,48,13,1540,0,3,69.0,1.7,32,548,NC,bahrain-mclaren,0,0,0,2,0,0,3,0,0,3,3,0,5,5,3,0.03116883116883117,3.692307692307693,inf,0.2307692307692308
936,Domen Novak,slovenia,31,53,7822,0,4,70.0,1.81,25,635,NC,bahrain-mclaren,0,2,2,0,0,0,0,3,0,1,0,4,3,7,1,0.0039631807721810285,0.5849056603773585,inf,0.07547169811320754
937,Kevin Inkelaar,netherlands,49,42,7189,0,1,64.0,1.81,23,1339,NC,bahrain-mclaren,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0.006815968841285297,1.1666666666666667,inf,0.023809523809523808
938,Alfred Wright,great-britain,61,47,7471,0,2,,,21,1058,NC,bahrain-mclaren,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0.008164904296613573,1.2978723404255321,inf,0.0425531914893617
939,Stephen Williams,great-britain,5,20,3141,0,1,59.0,1.83,24,NC,NC,bahrain-mclaren,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.001591849729385546,0.25,inf,0.05
940,Santiago Buitrago,colombia,69,50,7577,0,1,,,21,593,NC,bahrain-mclaren,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0.0091065065329286,1.38,inf,0.02
941,Peter Sagan,slovakia,854,64,10203,1,22,78.0,1.84,30,45,21,bora-hansgrohe,9,1,4,8,10,0,9,2,3,23,4,14,29,43,26,0.08370087229246301,13.34375,64.0,0.34375
942,Rafał Majka,poland,692,47,7753,0,15,62.0,1.73,31,47,458,bora-hansgrohe,5,5,7,0,0,5,0,9,2,1,0,17,14,31,3,0.08925577195924159,14.72340425531915,inf,0.3191489361702128
943,Pascal Ackermann,germany,941,60,9204,8,22,78.0,1.8,26,19,307,bora-hansgrohe,0,1,1,0,0,0,0,0,0,10,0,2,0,2,10,0.10223815732290308,15.683333333333335,7.5,0.36666666666666653
944,Jempy Drucker,luxembourg,267,41,6536,0,10,75.0,1.82,34,113,1040,bora-hansgrohe,0,1,3,5,3,1,8,1,0,1,2,4,18,22,1,0.04085067319461444,6.512195121951219,inf,0.24390243902439024
945,Emanuel Buchmann,germany,147,32,5149,1,4,59.0,1.81,28,209,1565,bora-hansgrohe,5,0,2,0,0,2,0,4,0,3,0,7,6,13,3,0.028549232860749663,4.59375,32.0,0.125
946,Patrick Konrad,austria,545,52,8421,0,14,65.0,1.8,29,68,NC,bora-hansgrohe,2,3,1,0,1,5,0,5,0,1,0,6,11,17,1,0.06471915449471559,10.48076923076923,inf,0.2692307692307692
947,Maximilian Schachmann,germany,933,43,7293,2,16,70.0,1.83,26,14,851,bora-hansgrohe,2,1,0,0,0,3,1,2,1,2,1,3,6,9,3,0.12793089263677498,21.69767441860465,21.5,0.372093023255814
948,Daniel Oss,italy,42,42,6992,0,1,75.0,1.9,33,1190,1491,bora-hansgrohe,8,3,1,10,9,0,11,0,0,1,0,12,30,42,1,0.006006864988558352,1.0,inf,0.023809523809523808
949,Oscar Gatto,italy,16,22,3219,0,1,67.0,1.74,35,995,1097,bora-hansgrohe,1,8,2,5,12,1,10,1,0,5,1,11,29,40,5,0.004970487729108419,0.7272727272727273,inf,0.045454545454545456
950,Marcus Burghardt,germany,35,20,3528,0,1,75.0,1.89,37,631,1588,bora-hansgrohe,11,1,3,14,9,3,15,1,0,2,0,15,42,57,2,0.00992063492063492,1.75,inf,0.05
951,Jay McCarthy,australia,98,29,4700,0,4,63.0,1.74,28,233,1913,bora-hansgrohe,1,3,3,0,0,4,0,0,0,1,0,7,4,11,1,0.02085106382978724,3.3793103448275863,inf,0.13793103448275862
